7.313211003965540691e-01 8.520588986093354800e-01 4.809797059701992339e-02 9.826138491113008966e-01 3.559700781436564432e-01 5.142691287964721303e-01 8.067876589637718032e-01 8.624002652048998740e-01 7.271961988275682520e-01 6.866204872437124962e-01
1.053274601800510135e-01 2.772434719286462901e-01 9.027722767536139337e-02 2.658166153992058689e-02 3.646579540151214660e-01 4.770039702646089452e-01 9.074977497951312033e-01 3.234342549356827856e-02 8.105323739546733686e-01 9.224981840469704819e-01
5.024602190061940865e-01 5.648778352163990046e-01 4.196892150274729172e-01 6.949336744675811417e-01 2.436546623098041486e-01 3.226833272035899425e-01 4.101464024402394770e-01 2.761967785691188393e-01 8.947054455596300526e-01 4.920008612160818862e-01
9.699299007148050045e-01 9.751051143203027793e-01 4.865456443015725441e-02 1.672226794198936606e-01 5.814721302033937222e-01 1.012332676562016642e-01 7.114928841799629256e-01 3.152960220583811424e-01 8.165782643410777197e-01 1.180515839681244294e-01
6.865022164807675908e-01 5.107106225947779521e-01 5.179616394935687707e-01 2.116646914193055506e-01 7.007342197092868430e-01 2.585215944919615483e-01 1.988974731717234601e-01 8.682043221349242668e-01 8.101355387678338404e-01 7.023748143147587886e-01
3.074487628432692743e-01 8.823635552842770124e-01 5.959062500606878698e-01 3.980358616998483923e-01 6.352235649892424840e-01 3.626946489961145881e-01 2.538539023033453690e-01 2.770861443132141000e-01 4.717673377274917978e-01 7.473871748913676338e-01
5.313060101589039963e-01 6.467070007417243804e-01 8.525347170735320113e-02 4.184760277348030799e-01 2.655743122806394352e-01 6.580557432074707336e-01 6.512268202752682367e-01 8.979901440652581224e-01 1.853740365012488400e-01 4.155188516268947252e-01
6.116188587166327961e-01 3.431728522545033355e-01 1.167670412653449841e-01 4.724622100974653627e-01 8.088142932076189950e-01 9.790613278804369823e-01 6.049646340405556710e-02 2.546128544282316719e-01 5.908564327366405688e-02 6.231409538884723487e-01
6.880326966886229911e-03 7.055178370447106051e-01 1.211143698151778691e-01 3.810436320383011610e-01 3.839280447954434017e-01 9.221960678796530253e-01 5.387679765301205403e-01 8.242509894341831789e-01 5.038949910769097151e-01 5.461001389754338575e-01
3.299637195664759659e-01 5.877594010131271807e-01 6.057230954895327368e-01 9.072929635868060005e-01 7.443020732362828351e-01 3.157221384722379565e-01 9.038328375783271085e-01 2.577007205921408861e-01 6.841881715811559683e-01 8.958040960212232395e-01
2.145384260541938204e-01 1.208346854859612129e-01 3.248681754637255947e-01 6.779767123150848285e-01 6.327430546442998072e-01 5.554906427983371531e-01 4.105159188440518081e-01 6.267338113745498651e-01 7.863556153577477836e-03 4.715887457861314136e-01
